gbifID	type	format	identifier	references	title	description	created	creator	contributor	publisher	audience	source	license	rightsHolder
1038285354	StillImage	image/jpeg	http://www.kew.org/herbcatimg/711516.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
1020589704	StillImage	image/jpeg	http://www.kew.org/herbcatimg/697788.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
1024568126	StillImage	image/jpeg	http://www.kew.org/herbcatimg/697818.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
1020047071	StillImage	image/jpeg	http://www.kew.org/herbcatimg/678015.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
1038286207	StillImage	image/jpeg	http://www.kew.org/herbcatimg/713031.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
1038286222	StillImage	image/jpeg	http://www.kew.org/herbcatimg/713034.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
1038286212	StillImage	image/jpeg	http://www.kew.org/herbcatimg/713032.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
1038286217	StillImage	image/jpeg	http://www.kew.org/herbcatimg/713033.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
1038285914	StillImage	image/jpeg	http://www.kew.org/herbcatimg/713035.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
1051242831	StillImage	image/jpeg	http://www.kew.org/herbcatimg/715579.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
1051242805	StillImage	image/jpeg	http://www.kew.org/herbcatimg/715580.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912464728	StillImage	image/jpeg	http://www.kew.org/herbcatimg/317324.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912499320				http://specimens.kew.org/herbarium/K000628261									© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912499319				http://specimens.kew.org/herbarium/K000628278									© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912499353				http://specimens.kew.org/herbarium/K000628289									© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912499444				http://specimens.kew.org/herbarium/K000628418									© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912569351	StillImage	image/jpeg	http://www.kew.org/herbcatimg/352201.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912569457	StillImage	image/jpeg	http://www.kew.org/herbcatimg/353734.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912569469	StillImage	image/jpeg	http://www.kew.org/herbcatimg/353733.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
